New frame
Conqueror: 13 68
Conqueror: 35 55
Conqueror: 48 55
Conqueror: 12 54
Conqueror: 13 42
Conqueror: 13 28
Conqueror: 24 45
Conqueror: 45 45
Conqueror: 8 26
Conqueror: 10 23
Conqueror: 13 23
Conqueror: 24 23
Conqueror: 13 19
Conqueror: 7 23
Conqueror: 7 23
Conqueror: 13 0
Conqueror: 0 0
Conqueror: 6 20
Conqueror: 15 66
Conqueror: 14 65
Conqueror: 88 100
Conqueror: 32 53
Conqueror: 63 60
Conqueror: 93 94
Conqueror: 42 54
Conqueror: 17 54
Conqueror: 45 44
Conqueror: 15 44
Conqueror: 55 81
Conqueror: 17 100
Conqueror: 66 68
Conqueror: 17 68
Conqueror: 32 39
Conqueror: 18 54
Conqueror: 42 55
Conqueror: 55 55
Conqueror: 17 42
Conqueror: 13 27
Conqueror: 13 23
Conqueror: 13 23
Conqueror: 13 23
Conqueror: 2 46
Conqueror: 2 37
Conqueror: 2 26
Conqueror: 12 26
Conqueror: 1 22
Conqueror: 21 19
Conqueror: 1 19
Conqueror: 0 65
Conqueror: 0 20
Conqueror: 12 20
Conqueror: 15 23
Conqueror: 0 23
Conqueror: 1 54
Conqueror: 0 43
Conqueror: 0 0
Conqueror: 0 0
Conqueror: 0 28
Conqueror: 17 66
Conqueror: 16 65
Conqueror: 94 100
Conqueror: 44 54
Conqueror: 21 54
Conqueror: 36 53
Conqueror: 100 94
Conqueror: 21 100
Conqueror: 36 39
Conqueror: 21 42
Conqueror: 17 27
Conqueror: 5 46
Conqueror: 5 37
Conqueror: 17 23
Conqueror: 5 26
Conqueror: 16 26
Conqueror: 19 23
Conqueror: 3 84
Conqueror: 4 28
Conqueror: 72 68
Conqueror: 3 68
Conqueror: 21 68
Conqueror: 20 23
Conqueror: 4 23
Conqueror: 24 54
Conqueror: 3 54
Conqueror: 8 22
Conqueror: 5 20
Conqueror: 18 20
Conqueror: 1 76
Conqueror: 19 23
Conqueror: 2 23
Conqueror: 2 20
Conqueror: 3 43
Conqueror: 1 43
Conqueror: 0 89
Conqueror: 49 0
Conqueror: 0 0
Conqueror: 8 54
Conqueror: 0 54
Conqueror: 0 65
